"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.05.2024","173,03","172,51","173,41","170,89","94,21M","2,20%"
"01.05.2024","169,30","169,58","172,71","169,11","50,38M","-0,60%"
"30.04.2024","170,33","173,33","174,99","170,00","65,93M","-1,83%"
"29.04.2024","173,50","173,37","176,03","173,10","68,17M","2,48%"
"26.04.2024","169,30","169,88","171,34","169,18","44,84M","-0,35%"
"25.04.2024","169,89","169,52","170,61","168,15","50,56M","0,51%"
"24.04.2024","169,02","166,54","169,30","166,21","48,25M","1,27%"
"23.04.2024","166,90","165,35","167,05","164,92","49,54M","0,64%"
"22.04.2024","165,84","165,51","167,26","164,77","48,12M","0,51%"
"19.04.2024","165,00","166,21","166,40","164,07","68,15M","-1,22%"
"18.04.2024","167,04","168,03","168,64","166,55","43,12M","-0,57%"
"17.04.2024","168,00","169,61","170,65","168,00","50,90M","-0,81%"
"16.04.2024","169,38","171,75","173,76","168,27","73,71M","-1,92%"
"15.04.2024","172,69","175,36","176,63","172,50","73,53M","-2,19%"
"12.04.2024","176,55","174,26","178,36","174,21","101,67M","0,86%"
"11.04.2024","175,04","168,34","175,46","168,16","91,07M","4,33%"
"10.04.2024","167,78","168,80","169,09","167,11","49,71M","-1,11%"
"09.04.2024","169,67","168,70","170,08","168,35","42,45M","0,72%"
"08.04.2024","168,45","169,03","169,20","168,24","37,43M","-0,67%"
"05.04.2024","169,58","169,59","170,39","168,95","42,10M","0,45%"
"04.04.2024","168,82","170,29","171,92","168,82","53,70M","-0,49%"
"03.04.2024","169,65","168,79","170,68","168,58","47,69M","0,48%"
"02.04.2024","168,84","169,08","169,34","168,23","49,33M","-0,70%"
"01.04.2024","170,03","171,19","171,25","169,48","46,24M","-0,85%"
"28.03.2024","171,48","171,75","172,23","170,51","65,67M","-1,06%"
"27.03.2024","173,31","170,41","173,60","170,11","60,27M","2,12%"
"26.03.2024","169,71","170,00","171,42","169,58","57,39M","-0,67%"
"25.03.2024","170,85","170,57","171,94","169,45","54,29M","-0,83%"
"22.03.2024","172,28","171,76","173,05","170,06","71,16M","0,53%"
"21.03.2024","171,37","177,05","177,49","170,84","106,18M","-4,09%"
"20.03.2024","178,67","175,72","178,67","175,09","53,42M","1,47%"
"19.03.2024","176,08","174,34","176,60","173,03","55,22M","1,36%"
"18.03.2024","173,72","175,57","177,71","173,52","75,60M","0,64%"
"15.03.2024","172,62","171,17","172,62","170,29","121,75M","-0,22%"
"14.03.2024","173,00","172,91","174,31","172,05","72,91M","1,09%"
"13.03.2024","171,13","172,77","173,18","170,76","52,49M","-1,21%"
